geoid,name,estimate.B01001007,error.B01001007,estimate.B01001008,error.B01001008,estimate.B01001009,error.B01001009,estimate.B01001031,error.B01001031,estimate.B01001032,error.B01001032,estimate.B01001033,error.B01001033
04000US01,Alabama,13616,1630,7275,1228,5951,1089,9743,1360,5215,1236,5407,1410
04000US02,Alaska,71410,3448,39337,3699,39833,3683,71717,3075,35734,3293,32337,3129
04000US04,Arizona,42950,2787,21508,2401,23465,2521,38054,2620,19885,2295,21607,2452
04000US05,Arkansas,94334,1774,49163,4274,52855,3995,89242,2162,49623,3463,47403,3313
04000US06,California,563832,3029,315104,11343,305616,9156,525434,3267,291760,8965,283693,7685
04000US08,Colorado,77096,2462,40136,3557,42191,3195,67237,2104,37072,3556,34393,3091
04000US09,Connecticut,55229,1189,29173,2927,26374,2477,52772,994,24333,2390,25334,2862
04000US10,Delaware,10236,1445,5521,1107,6143,1090,11289,1311,5258,1065,7326,1748
04000US11,District of Columbia,11872,683,5707,1190,7194,1333,13310,678,8244,1588,5219,983
04000US12,Florida,254781,4318,141408,6021,135551,6579,239010,4441,137447,6889,124514,6820
04000US13,Georgia,156013,4799,74034,5794,70584,4751,147949,5001,73735,5266,74273,5079
04000US15,Hawaii,16731,805,10275,1546,11992,1592,15068,1277,7556,1461,9518,1786
04000US16,Idaho,45774,2068,26593,2464,24115,2221,46310,2251,24832,2174,22315,2184
04000US17,Illinois,21024,1418,12978,2178,11335,2014,22937,1395,13448,1989,9961,1536
04000US18,Indiana,183818,2791,101239,5137,89636,5520,173161,2555,90215,5193,93255,4969
04000US19,Iowa,94876,2743,55434,3617,51166,3575,92137,2501,49227,3623,47078,3781
04000US20,Kansas,45497,2345,23079,2489,20850,2137,42952,2832,19917,2277,20232,2482
04000US21,Kentucky,62284,2760,35186,2656,33979,3210,59539,2826,33792,2792,32765,2752
04000US22,Louisiana,63252,3453,37456,4331,36628,3650,63372,3323,37485,3134,36933,4020
04000US23,Maine,103246,1925,49062,3440,48916,3265,104704,1875,52904,3888,51377,3881
04000US24,Maryland,82138,2176,40514,3187,45396,3857,78968,1958,37937,3434,36724,2787
04000US25,Massachusetts,17520,618,9626,1293,9051,1416,16301,1027,9570,1497,7537,1290
04000US26,Michigan,144096,2109,78591,4323,76667,4036,139351,2670,75963,4841,75514,4399
04000US27,Minnesota,75054,1525,37949,2724,37181,2973,71618,2404,35798,3471,36411,2860
04000US28,Mississippi,81484,2764,47241,3134,44488,3691,82293,2552,43500,3347,46968,3783
04000US29,Missouri,52987,3795,26416,2648,20555,2389,47352,3109,24477,2289,25795,3258
04000US30,Montana,14943,1198,8118,1503,9382,1582,14499,1480,7897,1637,8055,1430
04000US31,Nebraska,143931,3989,82694,5430,84201,5427,133866,3628,73189,4408,71018,4318
04000US32,Nevada,11688,1257,9178,1678,7843,1342,11901,1155,5981,1326,5862,863
04000US33,New Hampshire,28044,1656,14031,1706,15287,1868,28055,1702,14335,1793,13476,1660
04000US34,New Jersey,19770,972,8885,1457,9772,1488,19722,964,7704,1214,10466,1731
04000US35,New Mexico,117980,2196,60088,3720,55975,3480,106371,1856,54903,3609,55002,3622
04000US36,New York,34486,2472,17344,2214,16370,2083,28901,2260,14596,2324,17600,2625
04000US37,North Carolina,34915,1477,19035,2162,20799,2319,32619,1175,17734,2189,18943,2307
04000US38,North Dakota,276822,2453,150463,5780,146978,6180,274607,3185,148812,4794,143713,4563
04000US39,Ohio,165224,2345,87860,4833,79592,5187,156929,2732,87707,4462,76618,4359
04000US40,Oklahoma,58310,2501,31736,2907,29951,2479,54534,2495,28767,2470,28729,2202
04000US41,Oregon,53379,2495,26566,2996,26858,3157,48979,1844,27678,2512,28529,3380
04000US42,Pennsylvania,186625,2389,98767,5121,95275,5519,184902,2879,94789,4077,91087,4769
04000US44,Rhode Island,16754,720,8930,1620,7453,1477,18589,840,9149,1498,8755,1321
04000US45,South Carolina,75146,3893,37767,3409,36187,3613,70865,3364,35658,3618,35859,3780
04000US46,South Dakota,12848,1351,6251,1185,7679,1410,11319,906,5928,1169,6357,1034
04000US47,Tennessee,88824,3241,47449,3371,49611,3592,85837,2736,46039,4150,46536,3860
04000US48,Texas,394793,6258,212506,8757,208722,8618,381743,5962,201625,7360,183079,7645
04000US49,Utah,44365,1535,18014,2739,25794,2485,44317,1537,24926,2442,24521,2155
04000US50,Vermont,122639,4927,60890,4347,66046,4442,117142,4622,57670,3511,61094,4106
04000US51,Virginia,10217,940,5423,1169,5346,1115,10113,701,4470,846,4142,863
04000US53,Washington,88354,1872,56937,4063,54278,3829,86914,2449,50754,4139,44454,3367
04000US54,West Virginia,81353,1488,44553,3255,42057,3196,79210,1984,38301,2842,39027,3060
04000US55,Wisconsin,27489,1585,12024,1772,14276,1782,23886,1825,14982,2089,11534,1654
04000US56,Wyoming,6827,1100,5212,1298,4941,1239,7188,1296,4277,1132,4190,1138
